location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,operation,assessment_type,population,reporting_round,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#adm+level,#operation+name,#assessment+type,#affected+idps,#round+code,#date+start,#date+end
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,2035232,29,2019-11-30,2019-11-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,389281,1,2014-12-01,2014-12-01
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,1188018,2,2015-02-01,2015-02-01
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,1491706,3,2015-04-01,2015-04-01
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,1385298,4,2015-06-01,2015-06-01
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,2150451,5,2015-08-01,2015-08-01
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,2233506,6,2015-10-01,2015-10-01
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,2151979,7,2015-12-01,2015-12-01
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,2241484,8,2016-02-01,2016-02-01
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,2155618,9,2016-04-30,2016-04-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,2066783,10,2016-06-30,2016-06-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,2093030,11,2016-08-30,2016-08-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,1822541,12,2016-10-01,2016-10-01
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,1770444,13,2016-11-01,2016-11-01
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,1899830,14,2017-01-01,2017-01-01
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,1832743,15,2017-03-31,2017-03-31
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,1884331,16,2017-04-30,2017-04-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,1825321,17,2017-06-30,2017-06-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,1757288,18,2017-08-01,2017-08-01
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,1713771,19,2017-10-01,2017-10-01
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,1702680,20,2017-12-01,2017-12-01
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,1782490,21,2018-02-28,2018-02-28
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,1881198,22,2018-04-30,2018-04-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,1918508,23,2018-06-30,2018-06-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,1926748,24,2018-08-30,2018-08-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,2026602,25,2018-10-30,2018-10-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,1948349,26,2019-01-30,2019-01-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,BA,1980036,27,2019-05-30,2019-05-30
